extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,round,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,1,10,10,90.83333333333334,18.613183964167725,34.8,7.671013260609347,1351.7,281.53154549909874,579.7,84.64704497040769,48.30833333333333,7.053920414200641,1.0,0.0,0.0,0.0,11.8,0.6324555320336759
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,2,10,10,95.0,8.050764858994128,30.2,6.762642481555071,1190.1,233.50063050117112,519.2,103.70020893582294,43.266666666666666,8.641684077985245,0.7545361051355892,0.06706815774951633,0.5399813599786326,0.054050067844153275,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,3,10,10,95.0,8.050764858994134,29.2,4.1311822359545785,1249.1,180.7253594699857,524.9,53.42793692858114,43.74166666666667,4.452328077381762,0.7679458161348389,0.033318125938252875,0.6119920516768314,0.03843770074463787,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,4,10,10,97.5,5.624571314254606,27.4,1.8973665961010275,1201.3,120.10925581874751,512.4,39.48895766892028,42.7,3.290746472410022,0.7859151508780019,0.03490795575832257,0.6248234782286572,0.047733004490176485,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,5,10,10,95.83333333333333,5.892556509887896,29.2,2.6997942308422114,1261.1,130.655144049772,533.2,36.233195338590335,44.43333333333334,3.019432944882528,0.7827733149761397,0.046441491949614465,0.6513787003189223,0.04150830836342833,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.5,gpt-5.5,1,10,10,100.0,0.0,25.6,0.8432740427115678,734.7,54.946539674689454,320.7,24.644359282489866,26.725,2.0536966068741562,1.0,0.0,0.0,0.0,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.5,gpt-5.5,2,10,10,100.0,0.0,25.8,0.6324555320336759,703.4,57.94671882188173,294.6,20.886997550310255,24.55,1.7405831291925213,0.9160082259061394,0.02175392582462514,0.7910250839239434,0.03818805730642235,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.5,gpt-5.5,3,10,10,100.0,0.0,25.8,0.6324555320336759,705.3,58.097714623248685,290.2,15.440207252495027,24.183333333333334,1.2866839377079184,0.9537103164191127,0.022361149227865224,0.9048741427333811,0.03272377625562171,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.5,gpt-5.5,4,10,10,100.0,0.0,25.8,1.1352924243950935,706.4,49.64361881338717,289.0,17.950549357115012,24.083333333333332,1.4958791130929177,0.96959143430809,0.02073999907496342,0.938089441017521,0.029605575600665998,12.0,0.0
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.5,gpt-5.5,5,10,10,100.0,0.0,25.6,0.8432740427115678,702.3,56.34033487061763,282.8,17.086706983955555,23.566666666666666,1.4238922486629633,0.9763842673295086,0.014866165863822639,0.9364742316554943,0.02699765490964315,12.0,0.0
gpt,gpt-5.5,Cameron,cameron-prompt,gpt-5.2,gpt-5.2,1,10,10,98.33333333333333,5.270462766947296,30.0,2.1081851067789197,619.1,73.61680061869936,237.8,18.467990325605726,19.816666666666666,1.5389991938004772,1.0,0.0,0.0,0.0,12.0,0.0
gpt,gpt-5.5,Cameron,cameron-prompt,gpt-5.2,gpt-5.2,2,10,10,96.66666666666667,5.826715823167508,24.8,1.0327955589886446,447.7,43.071129799695555,161.7,12.129394965216617,13.475,1.0107829137680515,0.8920014354091929,0.02825020754490853,0.586035612473914,0.041643861209348126,12.0,0.0
